indicator,ct,2020/2/25,2020/2/26,2020/2/27,2020/2/28,2020/2/29,2020/3/1,2020/3/2,2020/3/3,2020/3/4,2020/3/5,2020/3/6,2020/3/7,2020/3/8,2020/3/9,2020/3/10,2020/3/11,2020/3/12,2020/3/13,2020/3/14,2020/3/15
Sri Lanka,斯里兰卡,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,6,10,18
Sudan,苏丹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Suriname,苏里南,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Sweden,瑞典,1,2,7,7,12,14,15,21,35,94,101,161,203,248,355,500,599,814,961,1022
Switzerland,瑞士,1,1,8,8,18,27,42,56,90,114,214,268,337,374,491,652,652,1139,1359,2200
Thailand,泰国,37,40,40,41,42,42,43,43,43,47,48,50,50,50,53,59,70,75,82,114
Togo,多哥,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Trinidad and Tobago,特立尼达和多巴哥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Tunisia,突尼斯,0,0,0,0,0,0,0,0,1,1,1,1,2,2,5,7,7,16,18,18
Turkey,土耳其,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,6
Ukraine,乌克兰,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3,3,3
United Arab Emirates,阿拉伯联合酋长国,13,13,13,19,21,21,21,27,27,29,29,45,45,45,74,74,85,85,85,98
United Kingdom,英国,13,13,15,20,23,36,40,51,86,116,164,207,274,322,384,459,459,801,1143,1144
Uruguay,乌拉圭,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
United States,美国,51,57,58,60,68,74,98,118,149,217,262,402,518,583,959,1281,1663,2179,2727,3499
Uzbekistan,乌兹别克斯坦,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Venezuela,委内瑞拉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10
Vietnam,越南,16,16,16,16,16,16,16,16,16,16,16,18,30,30,31,38,39,47,53,56
